Date,Open,Close
3/16/2003,$328,$316
3/23/2003,$326,$328
3/30/2003,$320,$326
4/6/2003,$313,$320
4/13/2003,$313,$313
4/20/2003,$321,$313
4/27/2003,$328,$321
5/4/2003,$324,$328
5/11/2003,$315,$324
5/18/2003,$301,$315
5/25/2003,$304,$301
6/1/2003,$313,$304
6/8/2003,$309,$313
6/15/2003,$304,$309
6/22/2003,$300,$304
6/29/2003,$300,$300
7/6/2003,$310,$300
7/13/2003,$311,$310
7/20/2003,$312,$311
7/27/2003,$321,$312
8/3/2003,$328,$321
8/10/2003,$330,$328
8/17/2003,$328,$330
8/24/2003,$332,$328
8/31/2003,$339,$332
9/7/2003,$340,$339
9/14/2003,$339,$340
9/21/2003,$336,$339
9/28/2003,$330,$336
10/5/2003,$331,$330
10/12/2003,$339,$331
10/19/2003,$339,$339
10/26/2003,$334,$339
11/2/2003,$334,$334
11/9/2003,$335,$334
11/16/2003,$329,$335
11/23/2003,$319,$329
11/30/2003,$316,$319
12/7/2003,$316,$316
12/14/2003,$319,$316
12/21/2003,$317,$319
12/28/2003,$316,$317
1/4/2004,$300,$316
1/11/2004,$318,$300
1/18/2004,$323,$318
1/25/2004,$331,$323
2/1/2004,$338,$331
2/8/2004,$336,$338
2/15/2004,$332,$336
2/22/2004,$325,$332
2/29/2004,$325,$325
3/7/2004,$326,$325
3/14/2004,$327,$326
3/21/2004,$327,$327
3/28/2004,$326,$327
4/4/2004,$323,$326
4/11/2004,$320,$323
4/18/2004,$322,$320
4/25/2004,$314,$322
5/2/2004,$311,$314
5/9/2004,$314,$311
5/16/2004,$316,$314
5/23/2004,$317,$316
5/30/2004,$321,$317
6/6/2004,$328,$321
6/13/2004,$331,$328
6/20/2004,$334,$331
6/27/2004,$342,$334
7/4/2004,$351,$342
7/11/2004,$354,$351
7/18/2004,$355,$354
7/25/2004,$356,$355
8/1/2004,$360,$356
8/8/2004,$368,$360
8/15/2004,$374,$368
8/22/2004,$375,$374
8/29/2004,$374,$375
9/5/2004,$374,$374
9/12/2004,$382,$374
9/19/2004,$393,$382
9/26/2004,$390,$393
10/3/2004,$378,$390
10/10/2004,$374,$378
10/17/2004,$378,$374
10/24/2004,$376,$378
10/31/2004,$371,$376
11/7/2004,$369,$371
11/14/2004,$377,$369
11/21/2004,$376,$377
11/28/2004,$372,$376
12/5/2004,$372,$372
12/12/2004,$372,$372
12/19/2004,$375,$372
12/26/2004,$374,$375
1/2/2005,$362,$374
1/9/2005,$379,$362
1/16/2005,$386,$379
1/23/2005,$388,$386
1/30/2005,$384,$388
2/6/2005,$380,$384
2/13/2005,$377,$380
2/20/2005,$378,$377
2/27/2005,$378,$378
3/6/2005,$376,$378
3/13/2005,$371,$376
3/20/2005,$365,$371
3/27/2005,$367,$365
4/3/2005,$366,$367
4/10/2005,$353,$366
4/17/2005,$338,$353
4/24/2005,$332,$338
5/1/2005,$334,$332
5/8/2005,$339,$334
5/15/2005,$336,$339
5/22/2005,$333,$336
5/29/2005,$327,$333
6/5/2005,$320,$327
6/12/2005,$319,$320
6/19/2005,$332,$319
6/26/2005,$358,$332
7/3/2005,$369,$358
7/10/2005,$386,$369
7/17/2005,$396,$386
7/24/2005,$404,$396
7/31/2005,$412,$404
8/7/2005,$415,$412
8/14/2005,$415,$415
8/21/2005,$410,$415
8/28/2005,$405,$410
9/4/2005,$404,$405
9/11/2005,$409,$404
9/18/2005,$411,$409
9/25/2005,$411,$411
10/2/2005,$414,$411
10/9/2005,$411,$414
10/16/2005,$402,$411
10/23/2005,$397,$402
10/30/2005,$391,$397
11/6/2005,$385,$391
11/13/2005,$379,$385
11/20/2005,$376,$379
11/27/2005,$376,$376
12/4/2005,$371,$376
12/11/2005,$371,$371
12/18/2005,$372,$371
12/25/2005,$369,$372
1/1/2006,$362,$369
1/8/2006,$354,$362
1/15/2006,$352,$354
1/22/2006,$351,$352
1/29/2006,$356,$351
2/5/2006,$360,$356
2/12/2006,$359,$360
2/19/2006,$360,$359
2/26/2006,$364,$360
3/5/2006,$367,$364
3/12/2006,$366,$367
3/19/2006,$366,$366
3/26/2006,$364,$366
4/2/2006,$357,$364
4/9/2006,$356,$357
4/16/2006,$361,$356
4/23/2006,$362,$361
4/30/2006,$359,$362
